               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,              0.0317,           0.0083085,                   0,              0.5856,             0.53602,             0.51506,             0.30694,            0.044275,            0.005767,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.031426,           0.0081965,                   0,             0.58646,              0.5371,               0.514,             0.30747,            0.044292,           0.0057886,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.031164,           0.0081691,                   0,             0.58644,             0.53596,             0.51362,             0.30647,            0.044312,           0.0058052,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.031006,           0.0078717,                   0,             0.58168,             0.53575,             0.51322,             0.30567,            0.044534,           0.0058188,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.03088,           0.0078358,                   0,             0.57876,             0.53172,             0.51102,             0.30493,            0.044631,           0.0058351,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.030644,           0.0081096,                   0,             0.58115,             0.52984,             0.51057,             0.30475,            0.044739,           0.0058346,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.030441,           0.0079384,                   0,             0.57903,             0.52796,             0.50931,             0.30436,            0.044845,           0.0058357,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.030392,           0.0078115,                   0,             0.58559,             0.52366,             0.50888,              0.3038,            0.044909,           0.0058473,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.030101,           0.0079657,                   0,              0.5842,             0.52386,             0.50859,              0.3036,            0.044997,           0.0058573,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029768,           0.0079363,                   0,             0.58724,             0.52204,             0.50896,             0.30323,            0.045057,           0.0058711,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.029609,           0.0077926,                   0,             0.57953,             0.52608,             0.50895,             0.30255,            0.045103,           0.0058811,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029566,           0.0078477,                   0,             0.58141,             0.52231,             0.50838,             0.30243,            0.045172,           0.0058909,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.029001,           0.0077537,                   0,             0.57525,             0.52473,             0.50767,             0.30191,            0.045251,           0.0059002,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.029245,           0.0077831,                   0,             0.57352,              0.5249,             0.50622,             0.30115,            0.045353,           0.0059094,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.028876,           0.0075175,                   0,              0.5736,             0.52554,             0.50663,             0.30091,            0.045456,           0.0059184,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.028371,            0.007591,                   0,             0.57018,             0.52473,             0.50594,             0.30055,            0.045529,           0.0059282,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.028739,             0.00749,                   0,             0.57245,             0.52527,               0.507,             0.30094,            0.045572,           0.0059363,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.028034,           0.0074487,                   0,             0.57304,             0.51989,             0.50625,             0.30036,            0.045643,           0.0059464,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.028059,           0.0073417,                   0,             0.57358,             0.51935,             0.50602,              0.3002,            0.045692,            0.005959,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.02783,           0.0075135,                   0,             0.57364,             0.51694,             0.50504,             0.30017,             0.04573,            0.005969,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.027695,           0.0073177,                   0,             0.57177,             0.51989,             0.50526,             0.30001,            0.045761,           0.0059789,                   0,            0.000298,            0.000298,            0.000298
